GUO;Country ISO code
CA34938NC;PT
CA35080NC;NL
CA40076NC;GB
CA40195NC;IE
CA40269NC;AT
CA40487NC;GB
CA90013NC;GB
CACP1903604;DK
CAFEI1004165;GB
CAFEI1016109;GB
CAP000718028;GB
CG*110008161406;BE
CL*190521475145;GB
CL936280005;BE
CL995983001;BE
CN*110002064741;FR
CN*110004817526;DE
CN*110022661934;DE
CN*B000080087;GB
CN*B000084151;GB
CN*B000090228;GB
CN2-68745;IE
CN30077PC;NL
CN30131PC;DE
CN30144PC;NL
CN30198PC;DE
CN30430PC;GB
CN30442PC;FR
CN30937FH;DE
CN31578PC;DE
CN31723PC;NL
CN31907PC;DK
CN32051PC;GB
CN32148PC;GB
CN33076;IE
CN40412PC;GB
CN40432PC;DE
CN41685PC;NL
CN45809;IE
CN9360000095;DE
CN9361117760;DE
CN9361614428;GB
CN9362252959;DE
CN9366700430;GB
CNCP1825514;DK
CND989732545D;GB
CO8110122713;NL
CO880215905;GB
CW*D00335287;GB
CW30002WN;GB
CW30390NU;FR
CWD139453658D;NL
CWD299654558D;GB
CWD336726658;MT
CWD536248958;GB
CWD536751258;GB
CWD536850258;NL
CWLEI370895;BE
DZ*1042809641;FR
DZ*1045340367;FR
DZ*1047924842;FR
DZ*1143007098;FR
DZ*1151534209;FR
DZ*1151714020;FR
DZ*1151981300;FR
EG*B000086105;GB
EG*Z00054789;FR
EG30092KE;GB
EG30786KE;GB
EG30797KE;SI
EGCP0000278581;DE
EGCP0000457710;ES
GI*B000011919;GB
GI*B000020502;GB
GI*B000025408;GB
GI*B000027599;GB
GI*B000046264;GB
GI*B000049974;GB
GI*B000050123;GB
GI*B000051298;GB
GI2-37257;GB
GIP003267126;GB
HK*110008810791;AT
HK*B000003936;GB
HK*B000017612;GB
HK*B000074331;GB
HK0000158463;BE
HK0002732536;GB
HK0003549522;GB
HK0005594931;GB
HK0005773492;ES
HK0008780295;GB
HK0009529198;GB
HK0009884762;GB
HK0009945942;GB
HK0010963967;GB
HK0014856502;GB
HK0015401041;GB
HK0018456828;GB
HK0018697937;GB
HK00521FH;GB
HK20068FH;FR
HK30089FH;GB
HK30094;GB
HK30105FH;DE
HK30154FH;GB
HK31168FH;GB
HK51515;DE
HKCP1808636;DK
CH*1004617;FR
CH*1045352077;FR
CH*1047856209;FR
CH*1061218;FR
CH*1078135;FR
CH*110003775942;DE
CH*110004012594;DE
CH*110004372168;DE
CH*110004925766;DE
CH*110005109489;DE
CH*110005217843;DE
CH*110005320715;DE
CH*110005381549;DE
CH*110005488070;DE
CH*110005508942;DE
CH*110005583874;DE
CH*110005732784;DE
CH*110006776740;LV
CH*110008149128;FR
CH*110008149417;FR
CH*110008154878;LU
CH*110008166616;FR
CH*110008176134;FR
CH*110009050398;DE
CH*110009212421;DE
CH*110009216158;DE
CH*110009247741;DE
CH*110013971692;DE
CH*110014494038;LV
CH*110020892182;LU
CH*110022586743;AT
CH*110023107602;FR
CH*1590224594;DE
CH*1975264430;CZ
CH*450130021;EE
CH*490086246;CZ
CH*491191792;CZ
CH*670617331;DE
CH*780191086;LU
CH*932030123;DE
CH*94760;DE
CH*B000015700;GB
CH*B000060238;GB
CH*I0005578965;DE
CH*Q0001008118;FR
CH*Q0001056134;DE
CH*Q0001058055;DE
CH*Q000129966;PT
CH*Q000133882;DE
CH*Q000140812;SK
CH*Q000171699;FR
CH*Q000173615;DE
CH*Q00017960;FR
CH*Q000189739;PL
CH*Q000201128;DE
CH*Q000211629;GB
CH*Q000217463;PL
CH*Q000269139;FR
CH*Q000279717;SE
CH*Q000284202;DE
CH*Q0003203;DE
CH*Q00032677;AT
CH*Q00033694;SK
CH*Q00038164;NL
CH*Q0004100465;GB
CH*Q0004348326;DE
CH*Q000452361;DE
CH*Q000-4529477;GB
CH*Q000462110;DE
CH*Q0004658319;DE
CH*Q0004834466;NL
CH*Q0004983555;FR
CH*Q000502426;DE
CH*Q000511364;FR
CH*Q000-5257471;FR
CH*Q0005257512;PT
CH*Q0005258239;DE
CH*Q000-5273;DE
CH*Q0005339540;PL
CH*Q0005363090;CZ
CH*Q0005407412;DE
CH*Q000541397;DE
CH*Q000-5646;DE
CH*Q00056651;DE
CH*Q0005744630;LU
CH*Q0005927158;SK
CH*Q000601192;LU
CH*Q000685007;FR
CH*Q000708217;SE
CH*Q000-715216;AT
CH*Q0007199136;CZ
CH*Q00077514;DE
CH*Q000824668;ES
CH*Q000832626;DE
CH*Q000912;DE
CH*Q000940592;DE
CH*Q000961436;DE
CH*Q000964211;AT
CHCP1595464;DK
CHCP768436;DK
CHD789246584D;FR
CHCHE100032288;HU
CHCHE100042878;DE
CHCHE100136893;FR
CHCHE100251293;DE
CHCHE100284341;GB
CHCHE100619832;FR
CHCHE100672789;DE
CHCHE100688224;FR
CHCHE100707011;FR
CHCHE100765416;LU
CHCHE100827891;DE
CHCHE100913036;FR
CHCHE100959096;GB
CHCHE101020773;FR
CHCHE101049653;FR
CHCHE101065474;DE
CHCHE101066456;DE
CHCHE101093631;DE
CHCHE101160902;GB
CHCHE101172383;DE
CHCHE101236480;GB
CHCHE101353217;FR
CHCHE101374515;DE
CHCHE101417171;DE
CHCHE101527606;FR
CHCHE101602521;PT
CHCHE101673828;DE
CHCHE101680716;GB
CHCHE101782529;DE
CHCHE101846968;GB
CHCHE102123424;DE
CHCHE102169248;GB
CHCHE102204330;GB
CHCHE102333654;DE
CHCHE102337497;DE
CHCHE102425888;DE
CHCHE102443567;DE
CHCHE102503293;GB
CHCHE102598514;DE
CHCHE102632476;BE
CHCHE102743957;DE
CHCHE102747820;DE
CHCHE102787452;FR
CHCHE102982189;NL
CHCHE103003538;DE
CHCHE103024977;FR
CHCHE103388563;DE
CHCHE103485290;DE
CHCHE103488578;DE
CHCHE103648876;DE
CHCHE103670137;PL
CHCHE103867266;ES
CHCHE103950708;DK
CHCHE105806181;NL
CHCHE105815317;DE
CHCHE105816446;FR
CHCHE105829940;FR
CHCHE105884494;GB
CHCHE105909036;FR
CHCHE105923438;FR
CHCHE105950375;DE
CHCHE105966347;FR
CHCHE105967855;DE
CHCHE105991463;FR
CHCHE106325524;FR
CHCHE106841866;GB
CHCHE106963334;ES
CHCHE107025266;GB
CHCHE107031232;ES
CHCHE107104345;PT
CHCHE107414656;PL
CHCHE107791082;FR
CHCHE107791863;FR
CHCHE107826680;DE
CHCHE107828992;ES
CHCHE107908786;GB
CHCHE107957514;DE
CHCHE107971891;GB
CHCHE108270561;GB
CHCHE108692525;FR
CHCHE108778486;AT
CHCHE109066419;GB
CHCHE109107774;GB
CHCHE109359382;NL
CHCHE109539240;FR
CHCHE109625477;DE
CHCHE109662320;DE
CHCHE109910989;DE
CHCHE110065065;DE
CHCHE110286241;ES
CHCHE110306493;AT
CHCHE110377493;AT
CHCHE112391498;DE
CHCHE112474380;DE
CHCHE112626997;DE
CHCHE112628708;FR
CHCHE112673867;DE
CHCHE112678238;DE
CHCHE112908881;SE
CHCHE114009290;GB
CHCHE114132915;DE
CHCHE114160610;GB
CHCHE114425464;GB
CHCHE114461224;GB
CHCHE114666832;GB
CHCHE114934754;FR
CHCHE115417272;DE
CHCHE115475915;SE
CHCHE115752227;PL
CHCHE116315303;FR
CHCHE151243045;GB
CHCHE206390054;SE
CHCHE235296902;AT
CHCHE270030332;FR
CHCHE336223007;GB
CHCHE342727799;DE
CHCHE385352549;GB
CHCHE395345924;GB
CHCHE432050671;IE
CHCHE440276616;GB
CHCHE474101854;DK
CHP000718806;DE
CHP001762269;DE
CHP007403103;LU
CHPBHNLCH58L25Z112R;SI
CHPPPRMHL46E02Z133A;GB
ID*904608580;FR
ID30139FD;NL
IL*110005079196;DE
IL*110008875192;EE
IL*110020076929;FR
IL*1151835126;FR
IL*490870585;CZ
IL*915280723;CZ
IL*915280860;NL
IL*953012369;NL
IL*B000083523;GB
IL20315GE;DE
IL30005GE;LV
IL30018GE;GB
IL30081GE;NL
IL30094GE;NL
IL30143GE;NL
IL30175GE;BE
IL30205GE;GB
IL30249GE;CZ
IL40031GE;DE
IL40128GE;NL
IL40139GE;GB
IL41168NU;DK
IL53-306-5082;NL
IL53-412-9598;CZ
IL60-001-2181;ES
IL60-013-4258;PT
IL90004GE;ES
IL90005GE;NL
IN*450029940;LV
IN*570159194;LV
IN*904575276;BE
IN*B000088274;GB
IN*R00100801;ES
IN0000212166;GB
IN0000218337;GB
IN0000224475;GB
IN0000228418;GB
IN0000229748;GB
IN0000793439;GB
IN0003104037;GB
IN0006529809;DK
IN0010954065;NL
IN30017FI;GB
IN30025FI;GB
IN30031FI;DE
